"species" "uvalue"
"230" "Carlina biebersteinii" NA
"231" "Carlina vulgaris" NA
"232" "Carpinus betulus" 0.2855
"233" "Castanea sativa" NA
"234" "Centaurea jacea" NA
"235" "Centaurea micrantha" NA
"236" "Centaurea montana" NA
"237" "Centaurea phrygia" NA
"238" "Centaurea scabiosa" NA
"239" "Centaurea stoebe" NA
"240" "Centaurea triumfettii" NA
"241" "Centaurium erythraea" NA
"242" "Cephalanthera damasonium" -0.2708
"243" "Cephalanthera longifolia" 0.018
"244" "Cephalanthera rubra" -0.7234
"245" "Cephalanthera spec." NA
"246" "Cerastium arvense" NA
"247" "Cerastium fontanum" 0.6
"248" "Cerastium spec." NA
"249" "Ceratocapnos claviculata" NA
"250" "Cerinthe minor" NA
"251" "Chaerophyllum aromaticum" 0.4878
"252" "Chaerophyllum aureum" NA
"253" "Chaerophyllum bulbosum" NA
"254" "Chaerophyllum hirsutum" NA
"255" "Chaerophyllum spec." NA
"256" "Chaerophyllum temulum" 0.4784
"257" "Chamaecytisus austriacus" NA
"258" "Chamaecytisus hirsutus" -0.102
"259" "Chamaecytisus ratisbonensis" NA
"260" "Chelidonium majus" 0.8412
"261" "Chenopodiastrum spec." NA
"262" "Chenopodium album" 0.94
"263" "Chimaphila umbellata" NA
"264" "Chrysosplenium alternifolium" -0.2947
"265" "Chrysosplenium oppositifolium" NA
"266" "Chrysosplenium spec." NA
"267" "Circaea ×intermedia" NA
"268" "Circaea alpina" 0.2573
"269" "Circaea lutetiana" 0.1736
"270" "Cirsium arvense" 0.2509
"271" "Cirsium erisithales" -0.2998
"272" "Cirsium oleraceum" 0.1885
"273" "Cirsium palustre" -0.4434
"274" "Cirsium rivulare" NA
"275" "Cirsium spec." NA
"276" "Cirsium vulgare" -0.631
"277" "Clematis alpina" NA
"278" "Clematis integrifolia" NA
"279" "Clematis recta" NA
"280" "Clematis spec." NA
"281" "Clematis vitalba" 0.0781
"282" "Clinopodium acinos" NA
"283" "Clinopodium grandiflorum" -0.6041
"284" "Clinopodium menthifolium" NA
"285" "Clinopodium vulgare" -0.445
"286" "Colchicum autumnale" -0.0761
"287" "Colutea arborescens" NA
"288" "Conium maculatum" NA
"289" "Conopodium majus" NA
"290" "Convallaria majalis" -0.1738
"291" "Convolvulus arvensis" 0.6
"292" "Cornus mas" 0.1386
"293" "Cornus sanguinea" -0.0742
"294" "Coronilla coronata" NA
"295" "Corydalis cava" -0.2056
"296" "Corydalis pumila" NA
"297" "Corydalis solida" -0.4344
"298" "Corydalis spec." NA
"299" "Corylus avellana" 0.1948
"300" "Corynephorus canescens" NA
"301" "Cota tinctoria" NA
"302" "Cotoneaster divaricatus" NA
"303" "Crataegus ×media" NA
"304" "Crataegus germanica" NA
"305" "Crataegus laevigata" 0.0071
"306" "Crataegus monogyna" 0.1889
"307" "Crataegus spec." 0.2563
"308" "Crepis biennis" NA
"309" "Crepis capillaris" NA
"310" "Crepis paludosa" 0.1119
"311" "Crepis spec." NA
"312" "Cruciata glabra" -0.3582
"313" "Cruciata laevipes" NA
"314" "Cruciata pedemontana" NA
