"species_id" "family2"
"57625" "uqm_yHW" "Ericaceae"
"57630" "46J_yHW" "Onagraceae"
"57631" "sN2_yHW" "Apiaceae"
"57781" "dHB_CXy" "Fabaceae"
"57799" "KeF_3MZ" "Cyperaceae"
"57800" "gNl_3MZ" "Violaceae"
"57833" "P9L_3MZ" "Asteraceae"
"58307" "trO_Fb8" "Rosaceae"
"58582" "waV_c0H" "Apocynaceae"
"58980" "kfe_Kzu" "Asteraceae"
"58982" "fPq_el2" "Asteraceae"
"59009" "CMV_OEY" "Lamiaceae"
"59015" "vby_OEY" "Caryophyllaceae"
"60457" "gef_iIp" "Poaceae"
"60458" "KeF_Z6e" "Cyperaceae"
"60479" "kfe_Z6e" "Asteraceae"
"60519" "tHR_pMZ" "Asteraceae"
"60523" "RQ1_oaX" "Asteraceae"
"60529" "8DE_YzC" "Polygonaceae"
"60532" "QKr_2ka" "Polygonaceae"
"60566" "R9i_7l7" "Asparagaceae"
"60574" "shT_Mz2" "Ericaceae"
"60589" "trO_72a" "Rosaceae"
"61571" "8PD_c14" "Euphorbiaceae"
"61575" "woJ_8jW" "Ranunculaceae"
"61578" "rxo_cLX" "Brassicaceae"
"61658" "hA3_xHX" "Betulaceae"
"61677" "8Fi_xHX" "Rosaceae"
"61725" "gef_hG4" "Poaceae"
"61729" "8Nd_xgs" "Juncaceae"
"61731" "BU0_oEz" "Asteraceae"
"61734" "AZj_H7B" "Rosaceae"
"61744" "TgS_1Py" "Ranunculaceae"
"61745" "mxQ_Ysr" "Rosaceae"
"61762" "LKT_FDJ" "Rubiaceae"
"61773" "Q0u_FDJ" "Poaceae"
"61933" "Yey_v2p" "Brassicaceae"
"61934" "D8T_1v7" "Caryophyllaceae"
"61941" "wii_mYr" "Asteraceae"
"61947" "wNx_KMO" "Brassicaceae"
"61949" "TyO_A9e" "Apiaceae"
"62065" "2dv_IFi" "Boraginaceae"
"62066" "rxo_CQf" "Brassicaceae"
"62071" "qiG_aMV" "Asteraceae"
"62162" "3CA_Mma" "Lamiaceae"
"62164" "jbt_OLu" "Rosaceae"
"63037" "qiG_g2Q" "Asteraceae"
"63096" "0RG_BUd" "Fabaceae"
"63097" "o1z_mXc" "Rubiaceae"
"63106" "JmG_79r" "Ulmaceae"
"63202" "0wz_erO" "Rosaceae"
"63205" "Hap_ACD" "Poaceae"
