"Node" "SR_all" "SR_mis" "Obs" "Mean_Exp" "SD_Exp" "P_value"
"67" 1184 8 8 0.093547484783387 -0.0749374321353498 0.229292059616665 0.466466466466466
"68" 1185 6 6 0.0492913832199547 -0.0777757488957383 0.26878641562756 0.615615615615616
"69" 1186 3 3 0.822222222222222 -0.0736458060718104 0.375212564058827 0.011011011011011
"70" 1187 2 2 1 -0.0816608208922449 0.45232052818284 0
"71" 1188 2 2 0.226315789473684 -0.0664224818541843 0.447902011570226 0.537537537537538
"72" 1189 5 5 0.48 -0.0752110007017043 0.291833166505422 0.048048048048048
"73" 1190 4 4 0.35 -0.0743559238085421 0.332219327461877 0.201201201201201
"74" 1191 3 3 0.133333333333333 -0.0743604694120929 0.378034754178655 0.577577577577578
"75" 1192 2 2 -0.3 -0.0795158969692249 0.458128644946074 0.646646646646647
"76" 1193 4 4 -0.278903903903904 -0.0689096828207561 0.324309571402812 0.531531531531532
"77" 1194 3 3 -0.0385385385385387 -0.0693193690698388 0.371263533847833 0.936936936936937
"78" 1195 2 2 -0.168918918918919 -0.067183495090291 0.458265220741456 0.808808808808809
"79" 1196 41 41 -0.275985611447019 -0.0674218577853734 0.0941987077106156 0.026026026026026
"80" 1197 38 38 -0.231984475508626 -0.0683449407895511 0.0989297272772091 0.1001001001001
"81" 1198 23 23 -0.129474209035494 -0.0678753230535908 0.124977913572564 0.644644644644645
"82" 1199 18 18 -0.14359004783481 -0.0695103555334003 0.143970401070203 0.594594594594595
"83" 1200 14 14 -0.107926960726705 -0.0667528036804786 0.167955885176947 0.813813813813814
"84" 1201 7 7 0.0211208684625567 -0.0636293799972374 0.24390761169357 0.745745745745746
"85" 1202 5 5 0.231767018045382 -0.068251882012823 0.288678960156731 0.292292292292292
"86" 1203 4 4 0.258620689655172 -0.0630479100630197 0.324479191921309 0.325325325325325
"87" 1204 2 2 0 -0.0834487602583785 0.473219542189183 0.845845845845846
"88" 1205 2 2 -0.505494505494505 -0.0520731249582733 0.463403028918035 0.336336336336336
"89" 1206 7 7 -0.236974789915966 -0.0698762273637199 0.246939001322648 0.515515515515516
"90" 1207 6 6 -0.266666666666667 -0.0722192309760372 0.267160063438011 0.459459459459459
"91" 1208 4 4 -0.3375 -0.0800265650707967 0.328434064469684 0.432432432432432
"92" 1209 3 3 -0.45 -0.0814489985705938 0.374501534939651 0.355355355355355
"93" 1210 2 2 -0.675 -0.0938343273384993 0.461215627979644 0.219219219219219
"94" 1211 2 2 -0.125 -0.0566045627865183 0.452449290322996 0.853853853853854
"95" 1212 4 4 -0.268410852713178 -0.0791617870186261 0.302522298556177 0.536536536536537
"96" 1213 3 3 -0.0555555555555557 -0.0807153528615448 0.360094358110329 0.955955955955956
"97" 1214 2 2 -0.0833333333333335 -0.0746993098620691 0.453452378055482 0.98998998998999
"98" 1215 5 5 -0.0786571893579566 -0.0619892061262768 0.280462454271608 0.952952952952953
