"species" "uvalue"
"574" "KeF_u5f" -0.111111111111111
"575" "KeF_uNx" 0.9
"576" "KeF_V8K" 0.545454545454545
"577" "KeF_VM0" 0.29646017699115
"578" "KeF_Vw3" 0
"579" "KeF_W5b" -0.166666666666667
"580" "KeF_WdS" 0.5
"581" "KeF_yXe" -0.0285714285714286
"582" "KeF_Z21" 0.142857142857143
"583" "KeF_ZWP" 1
"584" "kfe_h79" -1
"585" "kfe_ROM" -0.5
"586" "KJN_pjP" -0.6
"587" "KMd_wBR" 1
"588" "kor_jDI" 0
"589" "kOY_Ysr" 0
"590" "Kxo_ZOS" -1
"591" "Kye_TLZ" 1
"592" "kyy_0r6" 0.5
"593" "kyy_6Hm" -0.666666666666667
"594" "kyy_DqS" 0
"595" "KZQ_sxS" -0.25
"596" "KZQ_tFP" -0.333333333333333
"597" "KzW_IHb" 1
"598" "l0Y_jnd" 0
"599" "l1W_Sth" 0.099009900990099
"600" "l1W_uuo" 0.152815013404826
"601" "L7O_1Ry" -0.666666666666667
"602" "L7O_qXX" -0.5
"603" "L85_nVX" -1
"604" "l9q_w04" -0.223333333333333
"605" "LGA_Aqc" 0.267431597528685
"606" "LGA_lGF" 1
"607" "LGA_Nf4" 0.5
"608" "liw_7g1" 0.0912200684150513
"609" "liw_M9E" -0.119402985074627
"610" "LKT_14I" -0.666666666666667
"611" "LKT_2Pi" -0.611111111111111
"612" "LKT_8ZK" -0.36328125
"613" "LKT_D01" -0.269230769230769
"614" "LKT_d6p" -0.511450381679389
"615" "LKT_eSD" -0.104166666666667
"616" "LKT_jWj" -1
"617" "LKT_kxM" -0.222222222222222
"618" "LKT_lGF" -1
"619" "LKT_ntp" -0.555555555555556
"620" "LKT_OEY" -0.00915903413821815
"621" "LKT_sgz" 0.5
"622" "LKT_tI6" -0.357142857142857
"623" "LKT_VnR" -0.421052631578947
"624" "LKT_X6N" 0.151724137931034
"625" "LKT_xXQ" -0.5
"626" "LKT_yc1" 0
"627" "LKT_zk8" -0.266666666666667
"628" "LKT_ZME" 1
"629" "LOM_U8b" 0.5
"630" "LOw_2mO" 1
"631" "Lwk_Ag7" 0.4
"632" "LzX_Oaz" 1
"633" "m1T_Hv1" 0.258064516129032
"634" "m1T_T1V" 0.0439024390243902
"635" "m1T_tPk" 1
"636" "m6n_VGd" -0.153846153846154
"637" "m8V_6lP" -0.0218978102189781
"638" "mAy_lGF" -1
"639" "mAy_VQr" 0
"640" "mGl_gOO" -1
"641" "mGl_kUv" 0.333333333333333
"642" "mGl_Kzi" 0.0375
"643" "mGl_m4E" -0.875
"644" "mGl_PpO" 0
"645" "mGl_xrR" -0.5625
"646" "MiU_0kp" -0.0540540540540541
"647" "MiU_D1k" 0.278820375335121
"648" "MiU_YtG" -1
"649" "Mjv_f4C" -1
"650" "Mkn_Ew5" 0.342857142857143
"651" "mng_KMF" 1
"652" "mng_tFP" 1
"653" "mng_WEw" -1
"654" "MR7_lGF" 1
"655" "Mtz_Tw7" 1
"656" "mxQ_0y7" 0.333333333333333
"657" "mxQ_Bxp" 1
"658" "mxQ_KCh" 0.129901960784314
"659" "mxQ_KZ3" -0.0555555555555556
"660" "mxQ_o7P" 0.161904761904762
"661" "mYW_3tn" 0.343891402714932
"662" "N53_JYL" 0.391304347826087
"663" "n6i_aMk" 0.184782608695652
"664" "nj3_15K" -1
"665" "nj3_1dy" -1
"666" "nj3_Fb8" 1
"667" "nj3_HkY" -0.428571428571429
"668" "nj3_lGF" -1
"669" "nj3_lTF" 0.666666666666667
"670" "nj3_oPw" -1
"671" "nj3_QeF" -0.972602739726027
"672" "nj3_Qxi" 0.140401146131805
"673" "nj3_rzO" 1
"674" "nj3_ydg" -0.342105263157895
"675" "nj3_yl1" -1
"676" "Nmv_6kI" -0.498098859315589
"677" "Nmv_ZOS" 0.142857142857143
"678" "Nn3_7Wv" 1
"679" "Nn3_mbl" -1
"680" "NrL_IEN" 0.0193798449612403
"681" "NrL_JYL" -1
"682" "NrL_n1X" 0.25
"683" "NrL_vCE" -0.182539682539683
"684" "Ntd_2sp" -0.681818181818182
"685" "Ntd_A42" -0.205882352941176
"686" "Ntd_Cyx" -0.366666666666667
"687" "Ntd_gRD" -0.0977777777777778
"688" "Ntd_lGF" -0.333333333333333
"689" "Ntd_UgH" -0.345238095238095
"690" "Ntd_UjV" 0
"691" "NvW_Eid" 0.213811420982736
"692" "NvW_XFv" 1
"693" "NX6_4ZY" -0.201005025125628
"694" "Nx7_CXy" 0
"695" "Nx7_dYl" 1
"696" "o1z_CUS" 0
"697" "o1z_INu" -0.285714285714286
"698" "o1z_qf8" -0.311111111111111
"699" "o4M_aFs" 0.0508744038155803
"700" "o4M_bR0" -1
"701" "o4M_fyD" -0.103359173126615
"702" "o4M_lGF" -1
"703" "O8B_8ZK" -1
"704" "O8B_dYl" -0.414634146341463
"705" "O8B_glG" -0.581818181818182
"706" "O8B_O3H" -0.375
"707" "Ogg_AAw" -0.0909090909090909
"708" "Ogg_b1e" -0.591715976331361
"709" "Ogg_cpE" -0.56
"710" "Ogg_Dls" -0.5
"711" "Ogg_e0J" -0.391304347826087
"712" "Ogg_Hsy" -1
"713" "Ogg_J1g" -0.015625
"714" "Ogg_lGF" -1
"715" "Ogg_Qsp" -0.222222222222222
"716" "Ogg_u2a" -1
"717" "Ogg_Zys" 0.555555555555556
"718" "oLr_4fA" -1
"719" "ope_DaP" -0.318181818181818
"720" "OTO_asB" -0.666666666666667
"721" "Ots_iKb" 0
"722" "ov9_seD" 1
"723" "Oxe_MTf" -0.414634146341463
"724" "OZ4_1mK" 0.4
"725" "OZ4_8GA" 0.0952380952380952
"726" "OZ4_cLX" -0.333333333333333
"727" "P3K_CxZ" 0
"728" "P3K_LAe" 0.271428571428571
"729" "P3K_pNN" -0.378504672897196
"730" "P4W_02D" -0.2
"731" "P4W_49z" -0.142857142857143
"732" "P4W_4ZY" -0.5
"733" "P4W_AZT" 0.5
"734" "P4W_J76" -1
"735" "P4W_kKc" -0.714285714285714
"736" "P4W_lGF" -1
"737" "P4W_WwX" -1
"738" "p7f_33y" 0
"739" "p7f_61q" -0.818181818181818
"740" "p7f_Du3" 0
"741" "p7f_njk" -0.777777777777778
"742" "p7f_qNA" -0.25
"743" "p7x_lGF" 0.714285714285714
"744" "P9L_BIH" -0.363636363636364
"745" "P9L_dAb" -1
"746" "P9L_lGF" -1
"747" "P9L_mxR" -0.416666666666667
"748" "P9L_nw4" 0
"749" "P9L_W3B" 0.333333333333333
"750" "peT_ero" 0.2
"751" "Pfk_5aw" 0.5
"752" "Pfk_Z6O" -0.6
"753" "plG_2Cq" -0.333333333333333
"754" "plG_lGF" -1
"755" "Poe_5Uk" -0.407407407407407
"756" "Poe_B5a" -0.833333333333333
"757" "Poe_Cfx" -0.375
"758" "Poe_ch9" -0.283185840707965
"759" "Poe_gUN" -0.187730061349693
"760" "Poe_lGF" 1
"761" "Poe_pzr" 0.39572192513369
"762" "Poe_VM0" 1
"763" "Poe_WwX" -1
