"num" "Var1" "Freq" "SR_all" "SR_mis" "Obs" "Mean_Exp" "SD_Exp" "P_value"
"38" 1726 "Celastraceae" 3 3 3 -0.258411226239644 -0.049219606411353 0.369254920468991 0.61961961961962
"39" 1733 "Brassicaceae" 43 43 43 0.0874313712086609 -0.0693581509227682 0.100491392300469 0.127127127127127
"40" 1774 "Malvaceae" 6 6 6 0.256605262862215 -0.0725418887122973 0.266182605936399 0.217217217217217
"41" 1778 "Thymelaeaceae" 2 2 2 0.340811521949868 -0.0901013384994531 0.443520887725676 0.349349349349349
"42" 1781 "Sapindaceae" 6 6 6 0.308321236709925 -0.0686468072197286 0.269895408602617 0.169169169169169
"43" 1788 "Onagraceae" 12 12 12 0.268761021735888 -0.0712632909057724 0.188076328799267 0.0780780780780781
"44" 1796 "Lythraceae" 3 3 3 0.739837398373984 -0.0911582337888305 0.374428746823069 0.021021021021021
"45" 1798 "Geraniaceae" 7 7 7 0.271280609297445 -0.066204067855641 0.239438458084113 0.17017017017017
"46" 1804 "Crassulaceae" 7 7 7 -0.117584745762712 -0.0583160772649411 0.245474320344397 0.810810810810811
"47" 1811 "Saxifragaceae" 6 6 6 -0.286195286195286 -0.0608967962115015 0.258448097272392 0.385385385385385
"48" 1816 "Grossulariaceae" 5 5 5 -0.088613387978142 -0.0717966642130849 0.282673612125498 0.958958958958959
"49" 1822 "Ranunculaceae" 45 45 45 -0.341898737836669 -0.0626173072934281 0.0958617860895356 0.00700700700700701
"50" 1862 "Papaveraceae" 7 7 7 0.587774714028398 -0.062905715576049 0.237517236944852 0.00700700700700701
"51" 1872 "Orchidaceae" 20 20 20 -0.53666998117448 -0.0663519540822398 0.142153145803644 0
"52" 1891 "Asparagaceae" 22 22 22 -0.332068114904004 -0.0692488410768319 0.135061400785904 0.045045045045045
"53" 1911 "Amaryllidaceae" 14 14 14 -0.267128333445525 -0.0618016371461827 0.166791699791079 0.233233233233233
"54" 1917 "Iridaceae" 6 6 6 -0.344444444444444 -0.056053072899989 0.257582974729548 0.262262262262262
"55" 1924 "Poaceae" 98 98 98 -0.0313936059156328 -0.0667742926768537 0.0642582253115987 0.573573573573574
"56" 2000 "Cyperaceae" 58 58 58 0.20407369751111 -0.0685859709928428 0.0791239381173946 0
"57" 2039 "Juncaceae" 15 15 15 -0.0900721048268641 -0.066305394802676 0.164221268207489 0.884884884884885
"58" 2050 "Typhaceae" 2 2 2 0.833333333333333 -0.0458221135495901 0.448050266891718 0.047047047047047
"59" 2052 "Liliaceae" 5 5 5 -0.267781536293164 -0.0477496879154595 0.285899663673577 0.456456456456456
"60" 2057 "Melanthiaceae" 4 4 4 0.00784566838783706 -0.0626247693551372 0.332682063865043 0.828828828828829
"61" 2061 "Araceae" 7 7 7 0.143817564549272 -0.0828928258252221 0.237385169991819 0.346346346346346
"62" 2069 "Alismataceae" 2 2 2 -0.416666666666667 -0.077442290970291 0.437156183101148 0.482482482482482
"63" 2070 "Hydrocharitaceae" 2 2 2 0 -0.057245585025405 0.460327739512432 0.867867867867868
"64" 2071 "Aristolochiaceae" 2 2 2 -0.578544061302682 -0.0599770415493681 0.465575450123722 0.299299299299299
"65" NA "Berberidaceae" 1 NA NA NA NA NA NA
"66" NA "Cannabaceae" 1 NA NA NA NA NA NA
"67" NA "Cistaceae" 1 NA NA NA NA NA NA
"68" NA "Colchicaceae" 1 NA NA NA NA NA NA
"69" NA "Cucurbitaceae" 1 NA NA NA NA NA NA
